
---Downloaded files---
The import files for: Educenter Demo were successfully downloaded!
Initial max execution time = 30
Files info:
Site URL = http://localhost/mtsnpadangjapang
Data file = C:\xampp\htdocs\mtsnpadangjapang/wp-content/themes/educenter/welcome/demo-data/educenter.xml
Widget file = C:\xampp\htdocs\mtsnpadangjapang/wp-content/themes/educenter/welcome/demo-data/educenter.wie
Customizer file = C:\xampp\htdocs\mtsnpadangjapang/wp-content/themes/educenter/welcome/demo-data/educenter.dat
Redux files:
not defined!

------
New AJAX call!
[ERROR] Failed to import "people-2594944_1280 (1)" (Media)
[ERROR] Failed to import "144994-OTE6B6-919-min" (Media)
[ERROR] Failed to import "teacher-3" (Media)
[ERROR] Failed to import "pexels-photo-630839" (Media)
[ERROR] Failed to import "pexels-photo-872957 (1)" (Media)
[ERROR] Failed to import "student-849825_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-672358 (1)" (Media)
[ERROR] Failed to import "pexels-photo-262039 (1)" (Media)
[ERROR] Failed to import "dna-1811955_1280 (1)" (Media)
[ERROR] Failed to import "consulting-2204252_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-164749 (1)" (Media)
[ERROR] Failed to import "young-people-1445298_1280 (1)" (Media)
[ERROR] Failed to import "young-people-1445300_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-710744 (1)" (Media)
[ERROR] Failed to import "hands-people-woman-working (1)" (Media)
[ERROR] Failed to import "pexels-photo-806715 (1)" (Media)
[ERROR] Failed to import "pexels-photo-532220" (Media)
[ERROR] Failed to import "pexels-photo-746835 (1)" (Media)
[ERROR] Failed to import "people-1690965_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-733872 (1)" (Media)
[ERROR] Failed to import "admin-ajax" (Media)
[ERROR] Failed to import "logo2-300x114-300x114" (Media)
[ERROR] Failed to import "logo6-300x114-300x114" (Media)
[ERROR] Failed to import "Untitled-1" (Media)
[ERROR] Failed to import "cropped-Untitled-1.png" (Media)
[ERROR] Failed to import "Untitled-2-1" (Media)
[ERROR] Failed to import "1" (Media)
[ERROR] Failed to import "vneck-tee-2.jpg" (Media)
[ERROR] Failed to import "vnech-tee-green-1.jpg" (Media)
[ERROR] Failed to import "vnech-tee-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-2.jpg" (Media)
[ERROR] Failed to import "hoodie-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-green-1.jpg" (Media)
[ERROR] Failed to import "hoodie-with-logo-2.jpg" (Media)
[ERROR] Failed to import "tshirt-2.jpg" (Media)
[ERROR] Failed to import "beanie-2.jpg" (Media)
[ERROR] Failed to import "belt-2.jpg" (Media)
[ERROR] Failed to import "cap-2.jpg" (Media)
[ERROR] Failed to import "sunglasses-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-pocket-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-zipper-2.jpg" (Media)
[ERROR] Failed to import "long-sleeve-tee-2.jpg" (Media)
[ERROR] Failed to import "polo-2.jpg" (Media)
[ERROR] Failed to import "album-1.jpg" (Media)
[ERROR] Failed to import "single-1.jpg" (Media)
[ERROR] Failed to import "t-shirt-with-logo-1.jpg" (Media)
[ERROR] Failed to import "beanie-with-logo-1.jpg" (Media)
[ERROR] Failed to import "logo-1.jpg" (Media)
[ERROR] Failed to import "pennant-1.jpg" (Media)
[ERROR] Failed to import "client-logo-3" (Media)
[ERROR] Failed to import "client-logo-4" (Media)
[ERROR] Failed to import "client-logo-1" (Media)
[ERROR] Failed to import "client-logo-2" (Media)
[ERROR] Failed to import "tflmx1533-400x250" (Media)
[ERROR] Failed to import "tflmx1585-400x250" (Media)
[ERROR] Failed to import "pexels-photo-713829" (Media)
[ERROR] Failed to import "pexels-photo-295821" (Media)
[ERROR] Failed to import "pexels-photo-206615" (Media)
[ERROR] Failed to import "pexels-photo-428331" (Media)
[ERROR] Failed to import "pexels-photo-708392 (1)" (Media)
[ERROR] Failed to import "girl-3041375_1280-min" (Media)
[ERROR] Failed to import "model-600238_1280-min" (Media)
[ERROR] Failed to import "pexels-photo-256546 (1)" (Media)
[ERROR] Failed to import "pexels-photo-398532 (1)" (Media)
[ERROR] Failed to import "cropped-pexels-photo-206563.jpeg" (Media)
[ERROR] Failed to import "pexels-photo-831012 (1)" (Media)
[ERROR] Failed to import "pexels-photo-325521 (1)" (Media)
[ERROR] Failed to import "pexels-photo-267885 (1)" (Media)
[ERROR] Failed to import "person-woman-relaxation-girl (1)" (Media)
[ERROR] Failed to import "pexels-photo-820823 (1)" (Media)
[ERROR] Failed to import "woman-hand-desk-office (1)" (Media)
[ERROR] Failed to import "knowledge-1052011_1280" (Media)
[ERROR] Failed to import "educenter_logodark" (Media)
[ERROR] Failed to import "cropped-Untitled-1-1.png" (Media)
[ERROR] Failed to import "woocommerce-placeholder" (Media)
[ERROR] Failed to import "cropped-pexels-photo-820823-1.jpeg" (Media)
[ERROR] Failed to import "man-suit-road-street-male-walk-622354-pxhere.com" (Media)
[ERROR] Failed to import "student-hat-education-university-school-event-1190563-pxhere.com (2)" (Media)
[ERROR] Failed to import "people-audience-youth-child-smiling-education-1070033-pxhere.com" (Media)
[ERROR] Failed to import "fatigued-young-laptop-beautiful-seductive-seat-1366717-pxhere.com" (Media)


------
New AJAX call!
[ERROR] Failed to import "people-2594944_1280 (1)" (Media)
[ERROR] Failed to import "144994-OTE6B6-919-min" (Media)
[ERROR] Failed to import "teacher-3" (Media)
[ERROR] Failed to import "pexels-photo-630839" (Media)
[ERROR] Failed to import "pexels-photo-872957 (1)" (Media)
[ERROR] Failed to import "student-849825_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-672358 (1)" (Media)
[ERROR] Failed to import "pexels-photo-262039 (1)" (Media)
[ERROR] Failed to import "dna-1811955_1280 (1)" (Media)
[ERROR] Failed to import "consulting-2204252_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-164749 (1)" (Media)
[ERROR] Failed to import "young-people-1445298_1280 (1)" (Media)
[ERROR] Failed to import "young-people-1445300_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-710744 (1)" (Media)
[ERROR] Failed to import "hands-people-woman-working (1)" (Media)
[ERROR] Failed to import "pexels-photo-806715 (1)" (Media)
[ERROR] Failed to import "pexels-photo-532220" (Media)
[ERROR] Failed to import "pexels-photo-746835 (1)" (Media)
[ERROR] Failed to import "people-1690965_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-733872 (1)" (Media)
[ERROR] Failed to import "admin-ajax" (Media)
[ERROR] Failed to import "logo2-300x114-300x114" (Media)
[ERROR] Failed to import "logo6-300x114-300x114" (Media)
[ERROR] Failed to import "Untitled-1" (Media)
[ERROR] Failed to import "cropped-Untitled-1.png" (Media)
[ERROR] Failed to import "Untitled-2-1" (Media)
[ERROR] Failed to import "1" (Media)
[ERROR] Failed to import "vneck-tee-2.jpg" (Media)
[ERROR] Failed to import "vnech-tee-green-1.jpg" (Media)
[ERROR] Failed to import "vnech-tee-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-2.jpg" (Media)
[ERROR] Failed to import "hoodie-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-green-1.jpg" (Media)
[ERROR] Failed to import "hoodie-with-logo-2.jpg" (Media)
[ERROR] Failed to import "tshirt-2.jpg" (Media)
[ERROR] Failed to import "beanie-2.jpg" (Media)
[ERROR] Failed to import "belt-2.jpg" (Media)
[ERROR] Failed to import "cap-2.jpg" (Media)
[ERROR] Failed to import "sunglasses-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-pocket-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-zipper-2.jpg" (Media)
[ERROR] Failed to import "long-sleeve-tee-2.jpg" (Media)
[ERROR] Failed to import "polo-2.jpg" (Media)
[ERROR] Failed to import "album-1.jpg" (Media)
[ERROR] Failed to import "single-1.jpg" (Media)
[ERROR] Failed to import "t-shirt-with-logo-1.jpg" (Media)
[ERROR] Failed to import "beanie-with-logo-1.jpg" (Media)
[ERROR] Failed to import "logo-1.jpg" (Media)
[ERROR] Failed to import "pennant-1.jpg" (Media)
[ERROR] Failed to import "client-logo-3" (Media)
[ERROR] Failed to import "client-logo-4" (Media)
[ERROR] Failed to import "client-logo-1" (Media)
[ERROR] Failed to import "client-logo-2" (Media)
[ERROR] Failed to import "tflmx1533-400x250" (Media)
[ERROR] Failed to import "tflmx1585-400x250" (Media)
[ERROR] Failed to import "pexels-photo-713829" (Media)
[ERROR] Failed to import "pexels-photo-295821" (Media)
[ERROR] Failed to import "pexels-photo-206615" (Media)
[ERROR] Failed to import "pexels-photo-428331" (Media)
[ERROR] Failed to import "pexels-photo-708392 (1)" (Media)
[ERROR] Failed to import "girl-3041375_1280-min" (Media)
[ERROR] Failed to import "model-600238_1280-min" (Media)
[ERROR] Failed to import "pexels-photo-256546 (1)" (Media)
[ERROR] Failed to import "pexels-photo-398532 (1)" (Media)
[ERROR] Failed to import "cropped-pexels-photo-206563.jpeg" (Media)
[ERROR] Failed to import "pexels-photo-831012 (1)" (Media)
[ERROR] Failed to import "pexels-photo-325521 (1)" (Media)
[ERROR] Failed to import "pexels-photo-267885 (1)" (Media)
[ERROR] Failed to import "person-woman-relaxation-girl (1)" (Media)
[ERROR] Failed to import "pexels-photo-820823 (1)" (Media)
[ERROR] Failed to import "woman-hand-desk-office (1)" (Media)
[ERROR] Failed to import "knowledge-1052011_1280" (Media)
[ERROR] Failed to import "educenter_logodark" (Media)
[ERROR] Failed to import "cropped-Untitled-1-1.png" (Media)
[ERROR] Failed to import "woocommerce-placeholder" (Media)
[ERROR] Failed to import "cropped-pexels-photo-820823-1.jpeg" (Media)
[ERROR] Failed to import "man-suit-road-street-male-walk-622354-pxhere.com" (Media)
[ERROR] Failed to import "student-hat-education-university-school-event-1190563-pxhere.com (2)" (Media)
[ERROR] Failed to import "people-audience-youth-child-smiling-education-1070033-pxhere.com" (Media)
[ERROR] Failed to import "fatigued-young-laptop-beautiful-seductive-seat-1366717-pxhere.com" (Media)


------
New AJAX call!
[ERROR] Failed to import "people-2594944_1280 (1)" (Media)
[ERROR] Failed to import "144994-OTE6B6-919-min" (Media)
[ERROR] Failed to import "teacher-3" (Media)
[ERROR] Failed to import "pexels-photo-630839" (Media)
[ERROR] Failed to import "pexels-photo-872957 (1)" (Media)
[ERROR] Failed to import "student-849825_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-672358 (1)" (Media)
[ERROR] Failed to import "pexels-photo-262039 (1)" (Media)
[ERROR] Failed to import "dna-1811955_1280 (1)" (Media)
[ERROR] Failed to import "consulting-2204252_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-164749 (1)" (Media)
[ERROR] Failed to import "young-people-1445298_1280 (1)" (Media)
[ERROR] Failed to import "young-people-1445300_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-710744 (1)" (Media)
[ERROR] Failed to import "hands-people-woman-working (1)" (Media)
[ERROR] Failed to import "pexels-photo-806715 (1)" (Media)
[ERROR] Failed to import "pexels-photo-532220" (Media)
[ERROR] Failed to import "pexels-photo-746835 (1)" (Media)
[ERROR] Failed to import "people-1690965_1280 (1)" (Media)
[ERROR] Failed to import "pexels-photo-733872 (1)" (Media)
[ERROR] Failed to import "admin-ajax" (Media)
[ERROR] Failed to import "logo2-300x114-300x114" (Media)
[ERROR] Failed to import "logo6-300x114-300x114" (Media)
[ERROR] Failed to import "Untitled-1" (Media)
[ERROR] Failed to import "cropped-Untitled-1.png" (Media)
[ERROR] Failed to import "Untitled-2-1" (Media)
[ERROR] Failed to import "1" (Media)
[ERROR] Failed to import "vneck-tee-2.jpg" (Media)
[ERROR] Failed to import "vnech-tee-green-1.jpg" (Media)
[ERROR] Failed to import "vnech-tee-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-2.jpg" (Media)
[ERROR] Failed to import "hoodie-blue-1.jpg" (Media)
[ERROR] Failed to import "hoodie-green-1.jpg" (Media)
[ERROR] Failed to import "hoodie-with-logo-2.jpg" (Media)
[ERROR] Failed to import "tshirt-2.jpg" (Media)
[ERROR] Failed to import "beanie-2.jpg" (Media)
[ERROR] Failed to import "belt-2.jpg" (Media)
[ERROR] Failed to import "cap-2.jpg" (Media)
[ERROR] Failed to import "sunglasses-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-pocket-2.jpg" (Media)
[ERROR] Failed to import "hoodie-with-zipper-2.jpg" (Media)
[ERROR] Failed to import "long-sleeve-tee-2.jpg" (Media)
[ERROR] Failed to import "polo-2.jpg" (Media)
[ERROR] Failed to import "album-1.jpg" (Media)
[ERROR] Failed to import "single-1.jpg" (Media)
[ERROR] Failed to import "t-shirt-with-logo-1.jpg" (Media)
[ERROR] Failed to import "beanie-with-logo-1.jpg" (Media)
[ERROR] Failed to import "logo-1.jpg" (Media)
[ERROR] Failed to import "pennant-1.jpg" (Media)
[ERROR] Failed to import "client-logo-3" (Media)
[ERROR] Failed to import "client-logo-4" (Media)
[ERROR] Failed to import "client-logo-1" (Media)
[ERROR] Failed to import "client-logo-2" (Media)
[ERROR] Failed to import "tflmx1533-400x250" (Media)
[ERROR] Failed to import "tflmx1585-400x250" (Media)
[ERROR] Failed to import "pexels-photo-713829" (Media)
[ERROR] Failed to import "pexels-photo-295821" (Media)
[ERROR] Failed to import "pexels-photo-206615" (Media)
[ERROR] Failed to import "pexels-photo-428331" (Media)
[ERROR] Failed to import "pexels-photo-708392 (1)" (Media)
[ERROR] Failed to import "girl-3041375_1280-min" (Media)
[ERROR] Failed to import "model-600238_1280-min" (Media)
[ERROR] Failed to import "pexels-photo-256546 (1)" (Media)
[ERROR] Failed to import "pexels-photo-398532 (1)" (Media)
[ERROR] Failed to import "cropped-pexels-photo-206563.jpeg" (Media)
[ERROR] Failed to import "pexels-photo-831012 (1)" (Media)
[ERROR] Failed to import "pexels-photo-325521 (1)" (Media)
[ERROR] Failed to import "pexels-photo-267885 (1)" (Media)
[ERROR] Failed to import "person-woman-relaxation-girl (1)" (Media)
[ERROR] Failed to import "pexels-photo-820823 (1)" (Media)
[ERROR] Failed to import "woman-hand-desk-office (1)" (Media)
[ERROR] Failed to import "knowledge-1052011_1280" (Media)
[ERROR] Failed to import "educenter_logodark" (Media)
[ERROR] Failed to import "cropped-Untitled-1-1.png" (Media)
[ERROR] Failed to import "woocommerce-placeholder" (Media)
[ERROR] Failed to import "cropped-pexels-photo-820823-1.jpeg" (Media)
[ERROR] Failed to import "man-suit-road-street-male-walk-622354-pxhere.com" (Media)
[ERROR] Failed to import "student-hat-education-university-school-event-1190563-pxhere.com (2)" (Media)
[ERROR] Failed to import "people-audience-youth-child-smiling-education-1070033-pxhere.com" (Media)
[ERROR] Failed to import "fatigued-young-laptop-beautiful-seductive-seat-1366717-pxhere.com" (Media)


---Importing widgets---
Right Sidebar Widget Area : 

Search - No Title - Widget already exists
Gallery - Our Success Gallery - Imported
Categories - No Title - Imported
Custom HTML - Facebook Feed - Imported
Product Categories - Product categories - Imported

Left Sidebar Widget Area : 

Search - No Title - Imported
Gallery - Our Success Gallery - Imported
Categories - No Title - Widget already exists
Custom HTML - Facebook Feed - Imported
Product Categories - Product categories - Imported
Recent Posts - No Title - Imported

Footer Widget Area : 

Text - About Us - Imported
Recent Posts - No Title - Imported
Custom HTML - Facebook Page - Imported
Gallery - Gallery - Imported



---Importing customizer settings---
Customizer settings import finished!

---pt-ocdi/after_import---

